"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1834225";"";"None";"308.41";"0";"1.67";"5";"CCN/C(=N\S(=O)(=O)c1ccccc1)N1CC(CC)C=N1";"Ki";"'='";"33.9";"nM";"7.47";"";"";"UO_0000065";"24.22";"0.49";"5.80";"10.08";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"33.9"
"CHEMBL3289961";"";"None";"504.68";"1";"4.45";"21";"Cc1c(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)sc2ccc(F)cc12";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"13.71";"0.29";"2.47";"10.56";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"120.0"
"CHEMBL3286585";"";"None";"371.44";"0";"2.35";"34";"O=S(=O)(c1cccc(F)c1)n1cc2c3c(cccc31)N1CCNCC1C2";"Ki";"'='";"0.7586";"nM";"9.12";"";"";"UO_0000065";"24.55";"0.48";"6.77";"16.78";"0";"CHEMBL3294611";"Displacement of [3H]LSD from human 5-HT6 receptor expressed in hamster BHK cells after 60 mins by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286112";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"9.12"
"CHEMBL3289966";"";"None";"487.68";"0";"3.79";"26";"O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cccc2scnc12";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"14.19";"0.30";"3.13";"8.82";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"120.0"
"CHEMBL3289971";"";"None";"452.94";"0";"3.11";"31";"O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)c(Cl)c1";"Ki";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"14.31";"0.30";"3.37";"8.24";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"330.0"
"CHEMBL1834227";"";"None";"356.88";"0";"2.71";"7";"CCCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CC)C=N1";"Ki";"'='";"14.6";"nM";"7.84";"";"";"UO_0000065";"21.96";"0.47";"5.13";"10.57";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"14.6"
"CHEMBL1834229";"";"None";"314.80";"0";"1.67";"9";"CCC1C=NN(/C(N)=N/S(=O)(=O)c2cccc(Cl)c2)C1";"Ki";"'='";"24.2";"nM";"7.62";"";"";"UO_0000065";"24.19";"0.52";"5.95";"8.64";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"24.2"
"CHEMBL1834350";"";"None";"383.91";"0";"1.67";"47";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2";"Ki";"'='";"7.2";"nM";"8.14";"";"";"UO_0000065";"21.21";"0.44";"6.47";"9.45";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"7.2"
"CHEMBL1834226";"";"None";"342.85";"0";"2.32";"6";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CC)C=N1";"Ki";"'='";"7.9";"nM";"8.10";"";"";"UO_0000065";"23.63";"0.50";"5.78";"10.93";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"7.9"
"CHEMBL1834230";"";"None";"328.83";"0";"1.93";"10";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(C)C=N1";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"24.62";"0.53";"6.17";"10.92";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"8.0"
